CONDITION,ONSET,DURATION,AMP
stimNeu,127.5609,3.984600000000015,1
stimNeu,213.2795,3.631499999999989,1
stimNeu,346.6755,3.9384000000000015,1
stimNeu,430.34680000000003,3.983599999999996,1
stimNeu,512.5224000000001,3.990600000000029,1
stimNeu,687.9039,3.826000000000008,1
stimNeu,857.4286,3.949299999999994,1
stimNeu,942.2277,3.983499999999992,1
stimNeu,988.1634000000001,3.9506000000000014,1
stimNeu,1069.0797,3.917200000000008,1
stimNeu,1112.5961000000002,3.966100000000012,1
stimNeu,1372.2924,3.9875000000000114,1
stimNeu,1518.4637,3.998199999999997,1
stimNeu,1583.1851000000001,3.992399999999975,1
stimFear,25.8788,3.984499999999997,1
stimFear,86.8638,3.981499999999997,1
stimFear,107.5113,3.9679000000000144,1
stimFear,147.7487,3.946100000000001,1
stimFear,233.9956,3.9484999999999673,1
stimFear,255.5982,3.3430000000000177,1
stimFear,327.24420000000003,3.203499999999991,1
stimFear,366.7697,3.961200000000005,1
stimFear,471.4394,3.956800000000016,1
stimFear,536.7493,2.09680000000003,1
stimFear,559.479,3.883099999999956,1
stimFear,601.1324999999999,3.946799999999996,1
stimFear,647.2802,3.949300000000001,1
stimFear,708.3003,3.9458000000000055,1
stimFear,773.6285,3.900699999999972,1
stimFear,793.6351999999999,3.9767000000000503,1
stimFear,899.0279,4.000200000000007,1
stimFear,919.3325,3.94500000000005,1
stimFear,1008.2193000000001,3.994,1
stimFear,1028.6962,4.000299999999996,1
stimFear,1133.7528000000002,3.842600000000005,1
stimFear,1197.7159000000001,1.812799999999981,1
stimFear,1215.7283000000002,3.950400000000002,1
stimFear,1240.2111,3.9665999999999713,1
stimFear,1288.8755,3.9551000000000016,1
stimFear,1310.0622,3.2719999999999985,1
stimFear,1352.2579,3.971600000000024,1
stimFear,1393.092,3.287700000000001,1
stimFear,1456.2544,3.9576000000000136,1
stimFear,1538.5609,3.9837000000000273,1
stimSad,5.662800000000001,3.9681,1
stimSad,46.2477,3.6650000000000063,1
stimSad,168.32670000000002,3.985299999999995,1
stimSad,192.9487,3.862400000000008,1
stimSad,277.9116,3.949500000000001,1
stimSad,300.44550000000004,3.698999999999955,1
stimSad,390.8552,2.842199999999991,1
stimSad,409.9291,3.867800000000017,1
stimSad,451.8701,3.4762000000000057,1
stimSad,491.9054,3.990399999999994,1
stimSad,580.8449,3.554900000000032,1
stimSad,621.3536,3.991299999999967,1
stimSad,668.5406,3.106099999999998,1
stimSad,732.7818,3.9639000000000095,1
stimSad,753.8265,3.073299999999989,1
stimSad,814.1120000000001,3.983099999999979,1
stimSad,836.9417000000001,3.436500000000024,1
stimSad,878.0286,3.9658000000000015,1
stimSad,968.0534000000001,3.977400000000003,1
stimSad,1049.5956,3.150599999999997,1
stimSad,1089.6298000000002,4.0,1
stimSad,1154.6123,3.966200000000015,1
stimSad,1175.1665,3.929299999999984,1
stimSad,1261.5688,3.2264000000000124,1
stimSad,1330.008,3.938699999999997,1
stimSad,1412.8888,3.923000000000002,1
stimSad,1434.1477,3.131699999999995,1
stimSad,1476.7333,3.7283999999999935,1
stimSad,1497.5804,3.8649000000000058,1
stimSad,1558.7024000000001,3.992500000000007,1
instView,37.84599999999999,1.0,1
instView,57.8958,1.0,1
instView,78.4126,0.9994999999999976,1
instView,119.4625,0.9994000000000084,1
instView,139.5284,1.0,1
instView,180.2948,0.9998999999999968,1
instView,224.8949,0.9995000000000118,1
instView,266.9238,1.0004999999999882,1
instView,312.14410000000004,1.0,1
instView,358.6143,0.9994000000000084,1
instView,378.7302,1.0006000000000057,1
instView,421.81370000000004,0.9834000000000174,1
instView,442.3302,1.0,1
instView,483.3958,1.00060000000002,1
instView,503.8958,1.000100000000003,1
instView,524.5129,1.0,1
instView,571.3620000000001,1.0004999999999882,1
instView,592.4118000000001,0.9879999999999995,1
instView,679.6294,1.0,1
